step,agent_pos_y,agent_pos_x,reward,penalty,alignment_bonus,distance_bonus
1,225,382,9.65,0.0,5.0,2.25
2,225,374,3.5,0.0,0.0,2.25
3,225,366,3.416666666666667,0.0,0.0,2.25
4,232,372,8.99375,0.0,3.75,3.1249999999999996
5,232,378,10.3,0.0,5.0,3.1249999999999996
6,239,384,9.941666666666666,0.0,3.75,4.0
7,232,390,9.07857142857143,0.0,3.75,3.1249999999999996
8,232,396,10.353125,0.0,5.0,3.1249999999999996
9,239,402,9.983333333333334,0.0,3.75,4.0
10,239,408,11.25,0.0,5.0,4.0
11,232,414,9.1125,0.0,3.75,3.1249999999999996
12,232,406,4.4624999999999995,0.0,0.0,3.1249999999999996
13,239,412,10.025,0.0,3.75,4.0
14,239,418,11.2875,0.0,5.0,4.0
15,246,424,10.774999999999999,0.0,3.75,4.749999999999999
16,253,430,11.65,0.0,3.75,5.625
17,253,422,6.9625,0.0,0.0,5.625
18,246,428,10.724999999999998,0.0,3.75,4.749999999999999
19,246,434,11.987499999999999,0.0,5.0,4.749999999999999
20,246,426,6.037499999999999,0.0,0.0,4.749999999999999
21,246,418,5.999999999999999,0.0,0.0,4.749999999999999
22,239,417,7.8500000000000005,0.0,2.5,3.8749999999999996
23,239,409,5.1125,0.0,0.0,3.8749999999999996
24,232,415,8.874999999999998,0.0,3.75,3.0
25,239,421,9.749999999999998,0.0,3.75,3.8749999999999996
26,239,413,5.0625,0.0,0.0,3.8749999999999996
27,232,419,8.874999999999998,0.0,3.75,3.0
28,225,425,7.999999999999999,0.0,3.75,2.1249999999999996
29,225,417,3.2999999999999994,0.0,0.0,2.1249999999999996
30,218,416,5.1499999999999995,0.0,2.5,1.2499999999999996
31,218,408,2.4499999999999997,0.0,0.0,1.2499999999999996
32,218,414,8.375,0.0,5.0,1.2499999999999996
33,211,406,2.8625,0.0,1.25,0.3750000000000002
34,218,412,7.137499999999999,0.0,3.75,1.2499999999999996
35,218,404,2.4499999999999997,0.0,0.0,1.2499999999999996
