step,agent_pos_y,agent_pos_x,reward,penalty,alignment_bonus,distance_bonus
1,225,382,9.65,0.0,5.0,2.25
2,225,388,9.65,0.0,5.0,2.25
3,225,394,9.65,0.0,5.0,2.25
4,225,400,9.65,0.0,5.0,2.25
5,225,406,9.65,0.0,5.0,2.25
6,225,398,3.666666666666667,0.0,0.0,2.25
7,225,404,9.57857142857143,0.0,5.0,2.25
8,225,396,3.625,0.0,0.0,2.25
9,225,388,3.583333333333334,0.0,0.0,2.25
10,225,394,9.5,0.0,5.0,2.25
11,232,386,5.687499999999999,0.0,1.25,3.1249999999999996
12,225,378,4.775,0.0,1.25,2.25
13,232,370,5.612499999999999,0.0,1.25,3.1249999999999996
14,232,376,10.262500000000001,0.0,5.0,3.1249999999999996
15,232,368,4.312499999999999,0.0,0.0,3.1249999999999996
16,232,360,4.312499999999999,0.0,0.0,3.1249999999999996
17,239,366,9.825000000000001,0.0,3.75,4.0
18,239,358,5.175,0.0,0.0,4.0
19,239,364,11.125,0.0,5.0,4.0
20,239,356,5.175,0.0,0.0,4.0
21,239,348,5.1625,0.0,0.0,4.0
22,246,354,10.712499999999999,0.0,3.75,4.875
23,246,360,11.999999999999998,0.0,5.0,4.875
24,246,352,6.05,0.0,0.0,4.875
25,246,358,11.999999999999998,0.0,5.0,4.875
26,253,364,11.6625,0.0,3.75,5.750000000000001
27,253,370,12.925,0.0,5.0,5.750000000000001
28,253,376,12.975,0.0,5.0,5.750000000000001
29,253,368,7.025000000000001,0.0,0.0,5.750000000000001
30,253,374,12.975,0.0,5.0,5.750000000000001
31,253,380,13.025,0.0,5.0,5.750000000000001
32,253,386,12.518705391594285,0.0,4.610104348113153,5.625
33,246,378,7.471101043481132,0.0,1.25,4.875
34,246,384,12.04610104348113,0.0,5.0,4.749999999999999
35,246,390,12.04610104348113,0.0,5.0,4.749999999999999
36,246,382,6.108601043481131,0.0,0.0,4.749999999999999
37,246,374,6.577395651886847,0.0,0.38989565188684683,4.875
38,253,380,11.575000000000001,0.0,3.75,5.625
39,253,386,12.875,0.0,5.0,5.625
40,253,392,12.875,0.0,5.0,5.625
41,260,398,12.4875,0.0,3.75,6.5
42,267,404,12.603898956518867,0.0,3.75,6.624999999999999
43,267,410,13.891398956518866,0.0,5.0,6.624999999999999
44,267,402,7.941398956518867,0.0,0.0,6.624999999999999
45,267,408,13.841398956518868,0.0,5.0,6.624999999999999
46,260,400,9.078898956518868,0.0,1.25,6.5
47,260,392,7.825,0.0,0.0,6.5
48,260,384,7.7875,0.0,0.0,6.5
49,253,390,11.55,0.0,3.75,5.625
50,253,382,6.85,0.0,0.0,5.625
51,253,374,6.8125,0.0,0.0,5.625
52,253,366,6.775,0.0,0.0,5.625
53,253,372,12.675,0.0,5.0,5.625
54,260,378,12.3375,0.0,3.75,6.5
55,260,370,7.6375,0.0,0.0,6.5
56,260,376,13.575000000000001,0.0,5.0,6.5
57,260,382,13.625,0.0,5.0,6.5
58,260,374,7.725,0.0,0.0,6.5
59,260,380,13.637500000000001,0.0,5.0,6.5
60,260,372,7.7375,0.0,0.0,6.5
61,260,364,7.7375,0.0,0.0,6.5
62,260,370,13.6875,0.0,5.0,6.5
63,260,376,13.6875,0.0,5.0,6.5
64,260,382,13.700000000000001,0.0,5.0,6.5
65,260,388,13.75,0.0,5.0,6.5
66,267,380,9.187499999999998,0.0,1.25,6.624999999999999
67,267,372,7.887499999999999,0.0,0.0,6.624999999999999
68,267,378,13.837499999999999,0.0,5.0,6.624999999999999
69,267,384,13.837499999999999,0.0,5.0,6.624999999999999
70,260,390,12.5,0.0,3.75,6.5
71,260,396,13.8,0.0,5.0,6.5
72,260,402,13.8,0.0,5.0,6.5
73,260,394,7.85,0.0,0.0,6.5
74,260,400,13.75,0.0,5.0,6.5
75,260,392,7.8,0.0,0.0,6.5
76,267,398,12.599999999999998,0.0,3.75,6.624999999999999
77,267,404,13.899999999999999,0.0,5.0,6.624999999999999
78,267,396,7.949999999999999,0.0,0.0,6.624999999999999
79,267,402,13.849999999999998,0.0,5.0,6.624999999999999
80,267,408,13.862499999999999,0.0,5.0,6.624999999999999
81,267,400,7.912499999999999,0.0,0.0,6.624999999999999
82,267,406,13.812499999999998,0.0,5.0,6.624999999999999
