step,agent_pos_y,agent_pos_x,reward,penalty,alignment_bonus,distance_bonus
1,225,368,3.5000000000000004,0.0,0.0,2.5000000000000004
2,232,374,9.62189043448119,0.0,4.139895651886847,3.3749999999999996
3,225,373,5.8934376814464855,0.0,2.110104348113153,2.375
4,232,365,5.8125,0.0,1.25,3.3749999999999996
5,232,357,4.922693564924583,0.0,0.38989565188684683,3.3749999999999996
6,239,363,10.093998260864781,0.0,3.75,4.25
7,232,355,5.809141366455527,0.0,1.25,3.3749999999999996
8,225,361,7.9632293481131535,0.0,3.360104348113153,2.5000000000000004
9,218,360,5.139105507536633,0.0,2.110104348113153,1.625
10,218,352,2.8086010434811315,0.0,0.0,1.625
11,211,351,4.658601043481131,0.0,2.5,0.7499999999999998
12,211,343,2.310996695367978,0.0,0.38989565188684683,0.7499999999999998
13,211,335,2.025,0.0,0.0,0.8750000000000001
14,218,341,7.45,0.0,3.75,1.625
15,211,340,4.6461010434811305,0.0,2.5,0.7499999999999998
16,218,339,5.508601043481132,0.0,2.5,1.625
17,225,331,5.452395651886847,0.0,1.6398956518868468,2.625
18,232,323,5.916398956518869,0.0,1.25,3.5
19,239,322,8.245297913037737,0.0,2.5,4.375
20,232,328,8.83900330463202,0.0,3.360104348113153,3.3749999999999996
21,225,327,6.403898956518869,0.0,2.5,2.5000000000000004
22,225,333,9.256205391594284,0.0,4.610104348113153,2.5000000000000004
23,225,325,3.746101043481132,0.0,0.0,2.5000000000000004
24,225,331,9.139806435075416,0.0,4.610104348113153,2.375
25,232,337,9.167202086962263,0.0,3.75,3.25
26,225,336,6.3422020869622635,0.0,2.5,2.375
27,218,335,5.082008522037681,0.0,2.110104348113153,1.5000000000000004
28,218,327,2.7594041739245267,0.0,0.0,1.5000000000000004
29,211,326,4.584404173924527,0.0,2.5,0.6250000000000002
30,204,325,3.7008031304433944,0.0,2.5,-0.25000000000000006
31,211,317,3.5070977388491102,0.0,1.6398956518868468,0.6250000000000002
32,211,323,7.771101043481132,0.0,5.0,0.6250000000000002
33,204,329,5.558601043481133,0.0,3.75,-0.3749999999999996
34,211,328,4.4625,0.0,2.5,0.4999999999999998
35,211,334,7.156205391594286,0.0,4.610104348113153,0.3750000000000002
36,204,326,2.133601043481132,0.0,1.25,-0.3749999999999996
37,204,318,1.2562946084057158,0.0,0.38989565188684683,-0.3749999999999996
38,211,317,4.466398956518868,0.0,2.5,0.4999999999999998
39,211,323,7.691398956518869,0.0,5.0,0.4999999999999998
40,218,322,5.760193564924583,0.0,2.8898956518868464,1.375
41,218,328,8.478898956518869,0.0,5.0,1.2499999999999996
42,225,334,8.360193564924582,0.0,4.139895651886847,2.0
43,225,340,9.232797913037738,0.0,5.0,2.0
44,218,339,5.157797913037737,0.0,2.5,1.125
45,218,345,8.236696869556605,0.0,5.0,0.9999999999999997
46,218,351,8.274196869556604,0.0,5.0,0.9999999999999997
47,211,350,4.220297913037738,0.0,2.5,0.12500000000000028
48,211,342,1.495297913037737,0.0,0.0,0.12500000000000028
49,218,348,7.007797913037736,0.0,3.75,0.9999999999999997
50,225,354,7.76639895651887,0.0,3.75,1.7500000000000004
51,225,360,9.01639895651887,0.0,5.0,1.7500000000000004
52,232,366,8.906294608405714,0.0,4.139895651886847,2.5000000000000004
53,225,365,5.272604348113154,0.0,2.110104348113153,1.625
54,218,364,4.7875,0.0,2.5,0.7499999999999998
55,225,356,4.300000000000001,0.0,1.25,1.7500000000000004
56,232,362,8.4375,0.0,3.75,2.5000000000000004
57,239,354,6.418794608405715,0.0,1.6398956518868468,3.5
58,232,346,5.166398956518868,0.0,1.25,2.625
59,232,338,3.8788989565188685,0.0,0.0,2.625
60,225,330,3.8351043481131533,0.0,0.8601043481131532,1.7500000000000004
61,225,336,8.875000000000002,0.0,5.0,1.7500000000000004
62,232,328,5.07110104348113,0.0,1.25,2.625
63,239,327,7.4,0.0,2.5,3.5
64,232,326,6.5249999999999995,0.0,2.5,2.625
65,239,318,6.468794608405716,0.0,1.6398956518868468,3.6250000000000004
66,239,310,4.7913989565188695,0.0,0.0,3.6250000000000004
67,232,309,6.625,0.0,2.5,2.75
68,239,301,6.050000000000001,0.0,1.25,3.6250000000000004
69,246,300,8.4,0.0,2.5,4.5
70,246,306,11.64139895651887,0.0,5.0,4.5
71,239,312,9.37889895651887,0.0,3.75,3.5
72,239,318,10.66639895651887,0.0,5.0,3.5
73,246,310,6.878898956518868,0.0,1.25,4.375
74,239,309,7.453898956518868,0.0,2.5,3.5
75,246,308,8.337499999999999,0.0,2.5,4.375
76,253,307,9.237499999999999,0.0,2.5,5.25
77,260,299,8.65,0.0,1.25,6.125
78,260,291,7.5125,0.0,0.0,6.25
79,260,283,7.4875,0.0,0.0,6.25
80,267,275,9.325,0.0,1.25,6.874999999999999
81,267,267,7.9125,0.0,0.0,6.75
82,260,273,12.05,0.0,3.75,6.25
83,260,265,7.906294608405714,0.0,0.38989565188684683,6.374999999999999
84,267,271,12.67889895651887,0.0,3.75,6.874999999999999
85,274,277,11.816398956518869,0.0,3.75,6.0
86,281,276,9.385193564924583,0.0,2.8898956518868464,5.125
87,274,282,11.970297913037736,0.0,3.75,6.125
88,281,288,11.132797913037738,0.0,3.75,5.25
89,274,280,8.620297913037737,0.0,1.25,6.125
90,281,279,9.207797913037735,0.0,2.5,5.25
91,274,278,10.107797913037736,0.0,2.5,6.125
92,274,284,12.926503304632023,0.0,4.610104348113153,6.125
93,281,290,11.350000000000001,0.0,3.75,5.375
94,274,296,12.225,0.0,3.75,6.25
95,281,302,11.350000000000001,0.0,3.75,5.375
96,288,301,8.914895651886846,0.0,2.8898956518868464,4.5
97,281,293,7.925,0.0,1.25,5.375
98,274,285,8.775,0.0,1.25,6.25
99,274,277,7.5125,0.0,0.0,6.25
100,281,269,8.143794608405715,0.0,1.6398956518868468,5.25
101,288,268,8.847693564924583,0.0,2.8898956518868464,4.5
102,281,267,8.917902261150891,0.0,2.110104348113153,5.375
103,281,273,12.520297913037739,0.0,5.0,5.375
104,288,265,6.970297913037737,0.0,1.25,4.5
105,281,257,7.695297913037737,0.0,1.25,5.25
106,274,249,8.553898956518868,0.0,1.25,6.125
107,267,248,10.891398956518868,0.0,2.5,7.0
108,260,254,11.472604348113155,0.0,3.360104348113153,6.0
109,260,260,13.1625,0.0,5.0,6.0
110,267,259,10.84610104348113,0.0,2.5,6.874999999999999
111,274,251,8.754702086962263,0.0,1.25,6.25
112,267,257,12.796101043481132,0.0,3.75,6.874999999999999
113,267,249,8.09610104348113,0.0,0.0,6.874999999999999
114,274,248,10.183601043481131,0.0,2.5,6.25
115,274,254,13.421101043481132,0.0,5.0,6.25
116,267,246,9.396101043481131,0.0,1.25,6.874999999999999
117,274,252,12.183601043481131,0.0,3.75,6.25
118,281,251,9.350000000000001,0.0,2.5,5.375
119,281,257,12.281205391594286,0.0,4.610104348113153,5.500000000000001
120,274,263,12.308601043481131,0.0,3.75,6.374999999999999
121,274,255,7.6461010434811305,0.0,0.0,6.374999999999999
122,274,261,13.558601043481131,0.0,5.0,6.374999999999999
123,267,260,10.758601043481129,0.0,2.5,6.75
124,267,266,13.98360104348113,0.0,5.0,6.75
125,260,265,9.88360104348113,0.0,2.5,5.875
126,253,271,10.983601043481132,0.0,3.75,5.0
127,253,277,12.246101043481131,0.0,5.0,5.0
128,246,283,10.133601043481132,0.0,3.75,4.125
129,253,275,7.575,0.0,1.25,5.0
130,246,267,6.675,0.0,1.25,4.125
131,253,259,7.5625,0.0,1.25,5.0
132,253,265,12.2125,0.0,5.0,5.0
133,246,271,10.1,0.0,3.75,4.125
134,246,263,5.4,0.0,0.0,4.125
135,253,269,10.9375,0.0,3.75,5.0
136,260,268,9.85,0.0,2.5,5.875
137,267,267,10.699999999999998,0.0,2.5,6.75
138,274,266,10.3125,0.0,2.5,6.374999999999999
139,267,265,10.699999999999998,0.0,2.5,6.75
140,274,271,12.3,0.0,3.75,6.374999999999999
141,281,270,9.4875,0.0,2.5,5.500000000000001
142,274,262,8.875,0.0,1.25,6.374999999999999
143,267,254,9.224999999999998,0.0,1.25,6.75
144,267,260,13.924999999999999,0.0,5.0,6.75
145,260,266,11.8,0.0,3.75,5.875
146,267,258,9.262499999999998,0.0,1.25,6.75
147,260,250,8.375,0.0,1.25,5.875
148,253,249,8.95,0.0,2.5,5.0
149,246,241,6.6125,0.0,1.25,4.125
150,246,233,5.325,0.0,0.0,4.125
151,253,225,7.4375,0.0,1.25,5.0
152,246,231,9.9875,0.0,3.75,4.125
153,239,237,9.137500000000001,0.0,3.75,3.25
154,246,229,6.575,0.0,1.25,4.125
155,253,228,8.8875,0.0,2.5,5.0
156,253,220,6.175,0.0,0.0,5.0
157,246,219,8.0125,0.0,2.5,4.125
158,246,211,5.2875,0.0,0.0,4.125
159,253,210,8.875,0.0,2.5,5.0
160,253,202,6.175,0.0,0.0,5.0
161,246,201,8.0125,0.0,2.5,4.125
162,253,200,8.875,0.0,2.5,5.0
163,246,199,7.987499999999999,0.0,2.5,4.125
164,253,191,7.4125,0.0,1.25,5.0
165,246,197,9.950000000000001,0.0,3.75,4.125
166,246,203,11.25,0.0,5.0,4.125
167,239,195,5.7125,0.0,1.25,3.25
168,232,187,4.85,0.0,1.25,2.375
169,232,193,9.525,0.0,5.0,2.375
170,225,199,7.437500000000001,0.0,3.75,1.5000000000000004
171,218,191,3.1500000000000004,0.0,1.25,0.6250000000000002
172,218,183,1.8750000000000002,0.0,0.0,0.6250000000000002
173,225,189,7.412500000000001,0.0,3.75,1.5000000000000004
174,225,195,8.700000000000001,0.0,5.0,1.5000000000000004
175,232,201,8.325,0.0,3.75,2.375
176,239,193,5.7625,0.0,1.25,3.25
177,246,192,8.1,0.0,2.5,4.125
178,246,198,11.3375,0.0,5.0,4.125
179,253,197,8.987499999999999,0.0,2.5,5.0
180,253,189,6.25,0.0,0.0,5.0
181,246,188,8.087499999999999,0.0,2.5,4.125
182,253,180,7.525,0.0,1.25,5.0
183,260,172,8.375,0.0,1.25,5.875
184,267,171,10.674999999999997,0.0,2.5,6.75
185,260,177,11.75,0.0,3.75,5.875
186,253,183,10.9,0.0,3.75,5.0
187,246,182,8.075,0.0,2.5,4.125
188,253,174,7.4625,0.0,1.25,5.0
189,253,166,6.1875,0.0,0.0,5.0
190,246,165,8.0375,0.0,2.5,4.125
191,239,164,7.1625000000000005,0.0,2.5,3.25
192,232,170,8.2625,0.0,3.75,2.375
193,225,176,7.412500000000001,0.0,3.75,1.5000000000000004
194,232,168,4.875,0.0,1.25,2.375
195,225,160,3.975,0.0,1.25,1.5000000000000004
196,225,166,8.637500000000001,0.0,5.0,1.5000000000000004
197,232,165,6.3125,0.0,2.5,2.375
198,232,171,9.55,0.0,5.0,2.375
199,239,170,7.25,0.0,2.5,3.25
200,239,162,4.525,0.0,0.0,3.25
201,246,161,8.1,0.0,2.5,4.125
202,246,167,11.3125,0.0,5.0,4.125
203,239,159,5.7625,0.0,1.25,3.25
204,232,158,6.3500000000000005,0.0,2.5,2.375
205,239,157,7.2375,0.0,2.5,3.25
206,246,163,10.05,0.0,3.75,4.125
207,246,155,5.375,0.0,0.0,4.125
208,253,154,8.924999999999999,0.0,2.5,5.0
209,253,146,6.2,0.0,0.0,5.0
210,260,138,8.3375,0.0,1.25,5.875
211,260,130,7.0625,0.0,0.0,5.875
212,260,122,7.0125,0.0,0.0,5.875
213,253,114,7.3875,0.0,1.25,5.0
214,253,106,6.1125,0.0,0.0,5.0
215,253,98,6.0875,0.0,0.0,5.0
216,246,104,9.8625,0.0,3.75,4.125
217,253,103,8.8125,0.0,2.5,5.0
218,253,109,12.0375,0.0,5.0,5.0
219,260,108,9.737499999999999,0.0,2.5,5.875
220,260,100,7.025,0.0,0.0,5.875
221,267,99,10.624999999999998,0.0,2.5,6.75
222,274,105,12.2375,0.0,3.75,6.374999999999999
223,267,111,12.6375,0.0,3.75,6.75
224,260,110,9.837499999999999,0.0,2.5,5.875
225,260,116,13.0875,0.0,5.0,5.875
226,260,122,13.1,0.0,5.0,5.875
227,267,121,10.774999999999997,0.0,2.5,6.75
228,260,120,9.875,0.0,2.5,5.875
229,253,119,9.0,0.0,2.5,5.0
230,246,118,8.149999999999999,0.0,2.5,4.125
231,239,124,9.2375,0.0,3.75,3.25
232,246,123,8.149999999999999,0.0,2.5,4.125
233,246,115,5.4125,0.0,0.0,4.125
234,246,121,11.3375,0.0,5.0,4.125
235,246,113,5.3875,0.0,0.0,4.125
236,246,119,11.2875,0.0,5.0,4.125
237,253,125,10.925,0.0,3.75,5.0
238,260,131,11.8125,0.0,3.75,5.875
239,253,130,8.987499999999999,0.0,2.5,5.0
240,260,122,8.4,0.0,1.25,5.875
241,260,128,13.0625,0.0,5.0,5.875
242,260,120,7.1375,0.0,0.0,5.875
243,253,119,8.987499999999999,0.0,2.5,5.0
244,253,125,12.1875,0.0,5.0,5.0
245,260,131,11.975,0.0,3.75,6.0
246,253,137,11.0875,0.0,3.75,5.125
247,246,129,6.7875,0.0,1.25,4.25
248,253,121,7.243705391594284,0.0,0.8601043481131532,5.125
249,246,127,10.171101043481132,0.0,3.75,4.25
250,246,119,5.508601043481131,0.0,0.0,4.25
251,253,111,7.471101043481132,0.0,1.25,5.0
252,246,103,6.608601043481132,0.0,1.25,4.125
253,253,102,8.933601043481131,0.0,2.5,5.0
254,253,108,11.739806435075417,0.0,4.610104348113153,5.0
255,260,107,9.523407478556548,0.0,2.110104348113153,6.0
256,260,113,13.125803130443394,0.0,5.0,6.0
257,267,119,12.775803130443395,0.0,3.75,6.874999999999999
258,274,111,8.754702086962263,0.0,1.25,6.25
259,281,110,9.317202086962265,0.0,2.5,5.375
260,274,109,10.217202086962262,0.0,2.5,6.25
261,281,115,11.317202086962265,0.0,3.75,5.375
262,281,121,12.479702086962263,0.0,5.0,5.25
263,281,113,6.679702086962263,0.0,0.0,5.375
264,274,112,10.627395651886845,0.0,2.8898956518868464,6.25
265,274,104,7.516398956518868,0.0,0.0,6.25
266,267,110,13.297693564924582,0.0,4.139895651886847,7.0
267,260,116,12.032797913037736,0.0,3.75,6.125
268,253,122,11.182797913037737,0.0,3.75,5.25
269,253,114,6.507797913037737,0.0,0.0,5.25
270,253,106,6.482797913037737,0.0,0.0,5.25
271,246,98,7.101592521443452,0.0,1.6398956518868468,4.25
272,253,97,8.61790226115089,0.0,2.110104348113153,5.125
273,260,96,9.639003304632022,0.0,2.110104348113153,6.125
274,260,102,13.25,0.0,5.0,6.125
