step,agent_pos_y,agent_pos_x,reward,penalty,alignment_bonus,distance_bonus
1,225,368,3.25,0.0,0.0,2.25
2,232,374,8.9625,0.0,3.75,3.1249999999999996
3,239,380,9.9,0.0,3.75,4.0
4,246,372,7.34375,0.0,1.25,4.875
5,246,364,6.05,0.0,0.0,4.875
6,246,370,12.004166666666665,0.0,5.0,4.875
7,253,376,11.65,0.0,3.75,5.750000000000001
8,253,368,6.968750000000001,0.0,0.0,5.750000000000001
9,253,374,12.9,0.0,5.0,5.750000000000001
10,246,366,7.3625,0.0,1.25,4.875
11,246,372,12.062499999999998,0.0,5.0,4.875
12,246,378,12.075,0.0,5.0,4.875
13,253,384,11.700000000000001,0.0,3.75,5.750000000000001
14,260,390,12.599999999999998,0.0,3.75,6.624999999999999
15,253,396,11.762500000000001,0.0,3.75,5.750000000000001
16,260,402,12.624999999999998,0.0,3.75,6.624999999999999
17,267,408,12.5,0.0,3.75,6.5
18,267,414,13.531205391594284,0.0,4.610104348113153,6.624999999999999
19,267,420,13.92110104348113,0.0,5.0,6.624999999999999
20,267,426,13.95860104348113,0.0,5.0,6.624999999999999
21,274,432,11.821101043481132,0.0,3.75,5.750000000000001
22,281,438,10.93360104348113,0.0,3.75,4.875
23,281,444,12.19610104348113,0.0,5.0,4.875
24,288,436,6.646101043481131,0.0,1.25,4.0
25,288,428,5.358601043481132,0.0,0.0,4.0
26,288,420,5.321101043481131,0.0,0.0,4.0
27,281,426,10.84610104348113,0.0,3.75,4.875
28,288,432,9.9625,0.0,3.75,4.0
29,288,438,11.2125,0.0,5.0,4.0
30,288,430,5.2625,0.0,0.0,4.0
31,281,422,7.3625,0.0,1.25,4.875
32,288,428,9.887500000000001,0.0,3.75,4.0
33,281,434,10.749999999999998,0.0,3.75,4.875
34,281,440,12.037499999999998,0.0,5.0,4.875
35,281,432,6.1375,0.0,0.0,4.875
36,274,431,9.737499999999999,0.0,2.5,5.750000000000001
37,267,437,12.562499999999998,0.0,3.75,6.624999999999999
38,267,443,13.825,0.0,5.0,6.624999999999999
39,267,435,7.874999999999999,0.0,0.0,6.624999999999999
40,267,427,7.874999999999999,0.0,0.0,6.624999999999999
41,267,433,13.812499999999998,0.0,5.0,6.624999999999999
42,274,439,11.6875,0.0,3.75,5.750000000000001
43,274,431,7.000000000000001,0.0,0.0,5.750000000000001
44,267,430,10.549999999999997,0.0,2.5,6.624999999999999
45,267,436,13.799999999999999,0.0,5.0,6.624999999999999
46,274,442,11.6875,0.0,3.75,5.750000000000001
47,274,448,12.950000000000001,0.0,5.0,5.750000000000001
48,281,449,9.497356940553669,0.0,2.9429276639145243,4.875
49,274,448,9.754429276639145,0.0,2.5,5.750000000000001
50,274,440,7.054429276639146,0.0,0.0,5.750000000000001
51,274,432,7.004429276639146,0.0,0.0,5.750000000000001
52,281,438,10.779429276639144,0.0,3.75,4.875
53,281,430,6.129429276639145,0.0,0.0,4.875
54,281,422,6.104429276639145,0.0,0.0,4.875
55,281,428,12.004429276639144,0.0,5.0,4.875
56,281,434,12.016929276639145,0.0,5.0,4.875
57,281,440,12.016929276639145,0.0,5.0,4.875
58,281,432,6.0875,0.0,0.0,4.875
59,281,438,12.0125,0.0,5.0,4.875
60,281,430,6.1125,0.0,0.0,4.875
61,281,422,6.1125,0.0,0.0,4.875
62,274,428,11.637500000000001,0.0,3.75,5.750000000000001
63,281,434,10.799999999999999,0.0,3.75,4.875
64,274,440,11.7125,0.0,3.75,5.750000000000001
65,274,446,12.9625,0.0,5.0,5.750000000000001
66,274,438,7.012500000000001,0.0,0.0,5.750000000000001
67,274,430,6.962500000000001,0.0,0.0,5.750000000000001
68,274,422,6.962500000000001,0.0,0.0,5.750000000000001
69,274,428,12.8625,0.0,5.0,5.750000000000001
70,281,434,10.774999999999999,0.0,3.75,4.875
71,281,440,12.075,0.0,5.0,4.875
72,274,446,11.700000000000001,0.0,3.75,5.750000000000001
73,267,438,9.149999999999999,0.0,1.25,6.624999999999999
74,274,444,11.675,0.0,3.75,5.750000000000001
75,274,449,12.825000000000001,0.0,5.0,5.750000000000001
76,274,449,12.375,0.0,5.0,5.750000000000001
77,267,448,10.674999999999997,0.0,2.5,6.624999999999999
78,274,449,10.47235694055367,0.0,2.9429276639145243,5.750000000000001
79,267,449,11.007523814908522,0.0,2.7258361765043326,6.624999999999999
80,274,441,8.331687638404189,0.0,1.25,5.750000000000001
81,274,433,7.03168763840419,0.0,0.0,5.750000000000001
82,267,432,10.594187638404186,0.0,2.5,6.624999999999999
83,267,424,7.881687638404188,0.0,0.0,6.624999999999999
84,267,416,7.844187638404188,0.0,0.0,6.624999999999999
85,260,422,12.356687638404189,0.0,3.75,6.5
86,267,428,12.469187638404188,0.0,3.75,6.624999999999999
87,267,434,13.744187638404187,0.0,5.0,6.624999999999999
88,267,440,13.764758361765042,0.0,5.0,6.624999999999999
89,260,432,8.975,0.0,1.25,6.5
90,260,424,7.7125,0.0,0.0,6.5
91,253,430,11.525,0.0,3.75,5.625
92,246,436,10.662499999999998,0.0,3.75,4.749999999999999
93,246,442,11.962499999999999,0.0,5.0,4.749999999999999
94,239,441,7.9125000000000005,0.0,2.5,3.8749999999999996
95,232,447,8.987499999999999,0.0,3.75,3.0
96,239,439,6.4375,0.0,1.25,3.8749999999999996
97,239,445,11.087499999999999,0.0,5.0,3.8749999999999996
98,239,449,10.887499999999998,0.0,5.0,3.8749999999999996
99,246,449,9.103094538269376,0.0,2.7258361765043326,4.749999999999999
100,246,441,6.077258361765042,0.0,0.0,4.749999999999999
101,239,447,9.852258361765042,0.0,3.75,3.8749999999999996
102,232,449,7.9656077067312845,0.0,3.144405292045783,3.0
103,232,441,4.271202414685501,0.0,0.0,3.0
104,239,447,9.8087024146855,0.0,3.75,3.8749999999999996
105,246,439,7.258702414685501,0.0,1.25,4.749999999999999
106,246,431,5.9962024146855,0.0,0.0,4.749999999999999
107,246,437,11.896202414685499,0.0,5.0,4.749999999999999
108,239,436,7.7962024146855,0.0,2.5,3.8749999999999996
109,246,428,7.206444052920457,0.0,1.25,4.749999999999999
110,246,420,5.956444052920457,0.0,0.0,4.749999999999999
111,246,412,5.918944052920457,0.0,0.0,4.749999999999999
112,253,418,11.450000000000001,0.0,3.75,5.625
113,253,410,6.8,0.0,0.0,5.625
114,253,402,6.7625,0.0,0.0,5.625
115,253,408,12.700000000000001,0.0,5.0,5.625
116,253,414,12.75,0.0,5.0,5.625
117,253,406,6.8,0.0,0.0,5.625
118,246,398,7.162499999999999,0.0,1.25,4.749999999999999
119,246,390,5.8999999999999995,0.0,0.0,4.749999999999999
120,246,382,5.8999999999999995,0.0,0.0,4.749999999999999
121,246,374,5.8999999999999995,0.0,0.0,4.749999999999999
122,246,380,11.812499999999998,0.0,5.0,4.749999999999999
123,246,372,5.912499999999999,0.0,0.0,4.749999999999999
124,246,378,11.862499999999999,0.0,5.0,4.749999999999999
125,253,377,9.5125,0.0,2.5,5.625
126,260,383,12.325000000000001,0.0,3.75,6.5
127,260,389,13.625,0.0,5.0,6.5
128,260,381,7.7125,0.0,0.0,6.5
129,267,387,12.524999999999999,0.0,3.75,6.624999999999999
130,260,393,12.4375,0.0,3.75,6.5
131,260,385,7.7875,0.0,0.0,6.5
132,260,391,13.6875,0.0,5.0,6.5
133,253,383,8.175,0.0,1.25,5.625
134,253,389,12.825000000000001,0.0,5.0,5.625
135,260,381,9.0375,0.0,1.25,6.5
