step,agent_pos_y,agent_pos_x,reward,penalty,alignment_bonus,distance_bonus
1,225,382,11.721114782924468,0.0,4.610104348113153,4.749999999999999
2,232,388,11.693005217405657,0.0,3.75,5.625
3,225,387,8.812003478270436,0.0,2.5,4.749999999999999
4,218,386,7.909002608702829,0.0,2.5,3.8749999999999996
5,218,392,10.86950852203768,0.0,4.610104348113153,4.0
6,211,391,7.166170144937104,0.0,2.5,3.1249999999999996
7,218,397,9.996002981374662,0.0,3.75,4.0
8,225,396,8.909002608702826,0.0,2.5,4.875
9,232,402,11.863557874402515,0.0,3.75,5.875
10,232,408,13.129702086962263,0.0,5.0,5.875
11,239,414,12.477306435075418,0.0,3.360104348113153,6.874999999999999
12,246,413,9.885907478556547,0.0,2.110104348113153,6.25
13,246,419,13.500803130443394,0.0,5.0,6.25
14,246,425,13.132008522037678,0.0,4.610104348113153,6.25
15,246,417,7.575803130443394,0.0,0.0,6.25
16,239,409,9.438303130443394,0.0,1.25,6.874999999999999
17,239,415,14.100803130443396,0.0,5.0,6.874999999999999
18,232,414,10.025803130443395,0.0,2.5,6.0
19,239,413,10.888303130443393,0.0,2.5,6.874999999999999
20,246,412,10.238303130443393,0.0,2.5,6.25
21,253,411,8.960907478556548,0.0,2.110104348113153,5.375
22,260,417,10.317202086962263,0.0,3.75,4.375
23,253,423,11.179702086962264,0.0,3.75,5.25
24,260,422,8.333601043481131,0.0,2.5,4.375
25,267,414,6.021101043481131,0.0,1.25,3.5
26,260,406,6.896101043481131,0.0,1.25,4.375
27,253,405,9.19610104348113,0.0,2.5,5.25
28,253,411,12.421101043481132,0.0,5.0,5.25
29,246,410,10.09610104348113,0.0,2.5,6.125
30,246,402,7.371101043481132,0.0,0.0,6.125
31,253,408,11.1625,0.0,3.75,5.25
32,246,407,10.075,0.0,2.5,6.125
33,246,413,13.1625,0.0,5.0,6.0
34,239,412,10.837499999999999,0.0,2.5,6.874999999999999
35,246,411,9.975,0.0,2.5,6.0
36,239,410,10.862499999999999,0.0,2.5,6.874999999999999
37,232,409,10.237499999999999,0.0,2.5,6.25
38,225,401,7.875,0.0,1.25,5.375
39,218,400,8.450000000000001,0.0,2.5,4.5
40,225,406,11.312500000000002,0.0,3.75,5.375
41,225,398,6.625,0.0,0.0,5.375
42,232,404,12.1625,0.0,3.75,6.25
43,239,403,10.8125,0.0,2.5,6.874999999999999
44,239,409,13.912499999999998,0.0,5.0,6.75
45,246,415,11.8,0.0,3.75,5.875
46,239,414,10.724999999999998,0.0,2.5,6.75
47,239,420,13.825,0.0,5.0,6.624999999999999
48,232,412,8.925,0.0,1.25,6.374999999999999
49,225,404,8.037500000000001,0.0,1.25,5.500000000000001
50,232,410,11.918705391594283,0.0,3.360104348113153,6.374999999999999
51,225,409,9.902395651886847,0.0,2.8898956518868464,5.500000000000001
52,225,415,12.85,0.0,5.0,5.625
53,218,407,7.706294608405714,0.0,1.6398956518868468,4.749999999999999
54,218,413,11.966398956518868,0.0,5.0,4.749999999999999
55,225,419,11.59139895651887,0.0,3.75,5.625
56,232,418,10.122604348113152,0.0,2.110104348113153,6.5
57,225,417,10.006294608405714,0.0,2.8898956518868464,5.625
58,225,409,6.903898956518868,0.0,0.0,5.625
59,218,415,11.222693564924583,0.0,4.139895651886847,4.875
60,211,414,7.999196869556605,0.0,2.5,4.0
61,204,413,7.120297913037736,0.0,2.5,3.1249999999999996
62,204,405,4.245297913037737,0.0,0.0,3.0
63,204,411,10.30389895651887,0.0,5.0,3.1249999999999996
64,211,417,9.916398956518869,0.0,3.75,4.0
65,204,409,5.616398956518868,0.0,1.25,3.1249999999999996
66,211,415,9.907797913037736,0.0,3.75,4.0
67,211,407,5.228898956518869,0.0,0.0,4.0
68,211,413,11.17889895651887,0.0,5.0,4.0
69,218,412,8.443705391594284,0.0,2.110104348113153,4.875
70,225,404,8.246101043481131,0.0,1.25,5.750000000000001
71,232,410,12.264806435075416,0.0,3.360104348113153,6.75
72,239,409,9.960907478556546,0.0,2.110104348113153,6.374999999999999
73,232,401,9.113303130443393,0.0,1.25,6.624999999999999
74,239,400,10.425803130443393,0.0,2.5,6.5
75,239,406,13.538303130443396,0.0,5.0,6.374999999999999
76,246,398,7.719508522037679,0.0,0.8601043481131532,5.625
77,239,390,8.996904173924525,0.0,1.25,6.5
78,239,396,13.12810956551881,0.0,4.610104348113153,6.374999999999999
79,246,395,9.053109565518811,0.0,2.110104348113153,5.500000000000001
80,253,401,10.543005217405659,0.0,3.75,4.625
81,260,400,7.7094041739245265,0.0,2.5,3.75
82,267,399,6.838303130443394,0.0,2.5,2.8749999999999996
83,274,405,7.544508522037679,0.0,3.360104348113153,2.0
84,274,411,9.084404173924526,0.0,5.0,1.875
85,274,417,9.084404173924526,0.0,5.0,1.875
86,274,409,3.1758031304433945,0.0,0.0,1.875
87,267,401,5.300803130443395,0.0,1.25,2.75
88,260,393,6.267202086962263,0.0,1.25,3.75
89,253,385,7.133601043481131,0.0,1.25,4.625
90,253,391,11.402306435075415,0.0,4.610104348113153,4.625
91,253,397,11.692202086962265,0.0,5.0,4.5
92,246,389,8.298496695367978,0.0,1.6398956518868468,5.375
93,239,388,10.618794608405715,0.0,2.8898956518868464,6.25
94,246,394,11.29139895651887,0.0,3.75,5.375
95,253,393,8.441398956518869,0.0,2.5,4.5
96,246,399,11.303898956518871,0.0,3.75,5.375
97,246,405,12.46639895651887,0.0,5.0,5.25
98,246,411,12.503898956518869,0.0,5.0,5.25
99,239,403,8.728898956518869,0.0,1.25,6.125
100,239,395,7.826592521443453,0.0,0.38989565188684683,6.125
101,232,387,9.399196869556606,0.0,1.25,6.874999999999999
102,239,393,12.070297913037738,0.0,3.75,6.125
103,239,385,7.516398956518868,0.0,0.0,6.25
104,232,377,9.366398956518868,0.0,1.25,6.874999999999999
105,239,383,11.760104348113153,0.0,3.360104348113153,6.25
106,246,382,8.793705391594283,0.0,2.110104348113153,5.25
107,253,381,7.889806435075417,0.0,2.110104348113153,4.375
108,260,380,7.379702086962263,0.0,2.5,3.5
109,267,379,6.517202086962262,0.0,2.5,2.625
110,267,371,3.938303130443394,0.0,0.0,2.75
111,274,370,5.38200852203768,0.0,2.110104348113153,1.875
