step,agent_pos_y,agent_pos_x,reward,penalty,alignment_bonus,distance_bonus
1,225,368,5.625,0.0,0.0,4.625
2,232,360,7.278109565518811,0.0,0.8601043481131532,5.375
3,232,352,6.403670144937105,0.0,0.0,5.375
4,232,344,6.3965026087028285,0.0,0.0,5.375
5,232,336,6.267202086962263,0.0,0.0,5.25
6,239,342,11.976835072468553,0.0,3.75,6.25
7,239,334,7.586324223315418,0.0,0.38989565188684683,6.125
8,239,326,7.1875,0.0,0.0,6.125
9,232,332,11.516450048018925,0.0,4.139895651886847,5.375
10,239,338,12.02889895651887,0.0,3.75,6.25
11,239,330,7.378898956518868,0.0,0.0,6.25
12,239,336,13.320297913037738,0.0,5.0,6.25
13,232,342,11.35779791303774,0.0,3.75,5.500000000000001
14,232,334,6.582797913037737,0.0,0.0,5.375
15,232,326,6.582797913037737,0.0,0.0,5.375
16,232,332,12.101503304632024,0.0,4.610104348113153,5.375
17,232,324,6.5875,0.0,0.0,5.375
18,232,330,12.268705391594287,0.0,4.610104348113153,5.500000000000001
19,239,322,8.729702086962263,0.0,1.25,6.25
20,239,314,7.442202086962263,0.0,0.0,6.25
21,239,306,7.710996695367978,0.0,0.38989565188684683,6.125
22,239,298,7.271101043481131,0.0,0.0,6.125
23,239,304,12.914806435075416,0.0,4.610104348113153,6.25
24,246,296,9.417202086962263,0.0,1.25,7.0
25,253,288,8.554702086962264,0.0,1.25,6.125
26,253,294,13.208601043481131,0.0,5.0,6.125
27,253,300,13.133601043481132,0.0,5.0,6.0
28,253,306,13.137500000000001,0.0,5.0,6.0
29,253,298,7.225,0.0,0.0,6.0
30,253,304,12.781205391594286,0.0,4.610104348113153,6.0
31,253,296,7.267202086962263,0.0,0.0,6.0
32,253,288,7.267202086962263,0.0,0.0,6.0
33,260,280,7.733601043481132,0.0,1.25,5.25
34,253,286,11.908601043481132,0.0,3.75,6.0
35,253,278,7.764895651886847,0.0,0.38989565188684683,6.125
36,253,270,7.325,0.0,0.0,6.125
37,260,262,7.6625,0.0,1.25,5.25
38,267,254,6.481205391594285,0.0,0.8601043481131532,4.5
39,267,246,5.621101043481132,0.0,0.0,4.5
40,274,238,5.962500000000001,0.0,1.25,3.6250000000000004
41,274,244,10.662500000000001,0.0,5.0,3.6250000000000004
42,274,236,4.762500000000001,0.0,0.0,3.6250000000000004
43,267,242,10.312500000000002,0.0,3.75,4.5
44,267,234,5.625,0.0,0.0,4.5
45,260,240,11.577395651886848,0.0,4.139895651886847,5.375
46,260,232,6.5375,0.0,0.0,5.375
47,267,224,6.9125,0.0,1.25,4.5
48,260,230,11.216398956518871,0.0,3.75,5.375
49,253,236,12.003898956518869,0.0,3.75,6.125
50,246,242,12.90389895651887,0.0,3.75,7.0
51,246,234,8.203898956518868,0.0,0.0,7.0
52,246,226,8.472693564924583,0.0,0.38989565188684683,6.874999999999999
53,246,232,14.120297913037737,0.0,5.0,7.0
54,246,224,8.614092521443451,0.0,0.38989565188684683,7.0
55,246,216,8.057797913037737,0.0,0.0,6.874999999999999
56,246,222,14.132797913037738,0.0,5.0,7.0
57,246,214,8.095297913037736,0.0,0.0,6.874999999999999
58,246,206,8.057797913037737,0.0,0.0,6.874999999999999
59,246,198,8.414092521443452,0.0,0.38989565188684683,6.874999999999999
60,246,204,13.936696869556606,0.0,5.0,6.874999999999999
61,253,196,8.674196869556605,0.0,1.25,6.25
62,253,202,13.370297913037737,0.0,5.0,6.25
63,253,194,7.420297913037737,0.0,0.0,6.25
64,253,186,7.935193564924583,0.0,0.38989565188684683,6.374999999999999
65,253,178,7.545297913037736,0.0,0.0,6.374999999999999
66,253,170,7.495297913037736,0.0,0.0,6.374999999999999
67,260,169,9.345297913037738,0.0,2.5,5.500000000000001
68,260,161,7.164092521443452,0.0,0.38989565188684683,5.625
69,253,167,12.207797913037737,0.0,3.75,6.374999999999999
70,246,173,12.570297913037736,0.0,3.75,6.75
71,246,165,7.907797913037737,0.0,0.0,6.75
72,239,171,12.064092521443454,0.0,4.139895651886847,5.875
73,239,163,7.024196869556605,0.0,0.0,5.875
74,239,155,7.020297913037737,0.0,0.0,5.875
75,232,161,10.832797913037737,0.0,3.75,5.0
76,239,160,9.782797913037736,0.0,2.5,5.875
77,239,166,13.132797913037738,0.0,5.0,6.0
78,239,172,13.17889895651887,0.0,5.0,6.0
79,239,164,7.241398956518869,0.0,0.0,6.0
80,246,163,10.803898956518868,0.0,2.5,6.874999999999999
81,246,155,8.497693564924583,0.0,0.38989565188684683,6.874999999999999
82,246,147,7.941398956518868,0.0,0.0,6.75
83,246,139,7.941398956518868,0.0,0.0,6.75
84,246,131,8.335193564924582,0.0,0.38989565188684683,6.75
85,246,123,7.7827979130377365,0.0,0.0,6.624999999999999
86,246,129,13.832797913037735,0.0,5.0,6.75
87,246,135,13.832797913037735,0.0,5.0,6.75
88,246,127,7.882797913037737,0.0,0.0,6.75
89,246,119,8.151592521443451,0.0,0.38989565188684683,6.624999999999999
90,246,111,7.736696869556605,0.0,0.0,6.624999999999999
91,239,117,12.064092521443454,0.0,4.139895651886847,5.875
92,239,109,6.899196869556606,0.0,0.0,5.750000000000001
93,239,101,6.899196869556606,0.0,0.0,5.750000000000001
94,239,107,12.845297913037736,0.0,5.0,5.750000000000001
95,239,99,6.945297913037738,0.0,0.0,5.750000000000001
96,232,105,11.101592521443452,0.0,4.139895651886847,4.875
97,225,111,9.949196869556605,0.0,3.75,4.125
98,225,103,5.6929914779623205,0.0,0.38989565188684683,4.125
99,225,109,11.249196869556606,0.0,5.0,4.125
100,225,101,5.3491968695566054,0.0,0.0,4.125
101,232,100,8.907797913037736,0.0,2.5,5.0
102,225,106,10.020297913037737,0.0,3.75,4.125
103,232,105,8.970297913037736,0.0,2.5,5.0
104,239,111,11.907797913037736,0.0,3.75,6.0
105,239,103,7.132797913037737,0.0,0.0,5.875
106,239,95,7.091398956518868,0.0,0.0,5.875
107,246,87,9.191398956518867,0.0,1.25,6.75
108,253,79,8.95,0.0,1.25,6.5
