step,agent_pos_y,agent_pos_x,reward,penalty,alignment_bonus,distance_bonus
1,232,375,7.753885217075531,0.0,2.8898956518868464,3.3749999999999996
2,225,381,8.356994782594342,0.0,3.75,2.375
3,232,387,9.121329855062895,0.0,3.75,3.1249999999999996
4,239,386,8.02224739129717,0.0,2.5,4.0
5,246,378,7.532797913037737,0.0,1.25,5.0
6,239,370,6.631498260864781,0.0,1.25,4.125
7,232,362,5.862712795026955,0.0,1.25,3.3749999999999996
8,225,354,4.973623695648587,0.0,1.25,2.5000000000000004
9,232,360,9.659671110817666,0.0,4.139895651886847,3.3749999999999996
10,239,366,10.032797913037736,0.0,3.75,4.125
11,246,365,8.953898956518868,0.0,2.5,5.0
12,253,357,8.353898956518869,0.0,1.25,5.875
13,260,356,10.666398956518867,0.0,2.5,6.75
14,267,362,12.647693564924586,0.0,4.139895651886847,6.374999999999999
15,274,361,9.964092521443451,0.0,2.8898956518868464,5.625
16,267,353,8.874196869556606,0.0,1.25,6.374999999999999
17,260,345,8.85540226115089,0.0,0.8601043481131532,6.75
18,267,351,12.295297913037738,0.0,3.75,6.374999999999999
19,274,357,11.541398956518869,0.0,3.75,5.625
20,281,356,8.703898956518866,0.0,2.5,4.749999999999999
21,288,362,10.310193564924585,0.0,4.139895651886847,4.0
22,281,354,7.270297913037736,0.0,1.25,4.749999999999999
23,274,346,7.739003304632021,0.0,0.8601043481131532,5.625
24,281,345,8.687499999999998,0.0,2.5,4.749999999999999
25,288,351,9.77110104348113,0.0,3.75,3.8749999999999996
26,295,357,9.046101043481132,0.0,3.75,3.1249999999999996
27,288,349,6.006205391594285,0.0,0.8601043481131532,3.8749999999999996
28,281,341,7.246101043481131,0.0,1.25,4.749999999999999
29,274,333,7.702306435075416,0.0,0.8601043481131532,5.625
30,281,339,10.629702086962261,0.0,3.75,4.749999999999999
31,288,345,9.875803130443394,0.0,3.75,4.0
32,281,337,7.225803130443394,0.0,1.25,4.749999999999999
33,288,336,8.210996695367976,0.0,2.8898956518868464,3.8749999999999996
34,295,342,9.033601043481132,0.0,3.75,3.1249999999999996
35,302,341,6.196101043481132,0.0,2.5,2.25
36,295,333,5.202306435075415,0.0,0.8601043481131532,3.1249999999999996
37,288,325,6.346101043481132,0.0,1.25,3.8749999999999996
38,281,317,7.221101043481131,0.0,1.25,4.749999999999999
39,288,323,9.774999999999999,0.0,3.75,3.8749999999999996
40,295,322,7.331294608405716,0.0,2.8898956518868464,3.0
41,288,328,9.891398956518868,0.0,3.75,4.0
42,295,327,7.078898956518867,0.0,2.5,3.1249999999999996
43,288,319,6.093705391594285,0.0,0.8601043481131532,4.0
44,281,311,7.2086010434811305,0.0,1.25,4.749999999999999
45,288,317,9.871101043481131,0.0,3.75,4.0
46,281,309,7.224999999999999,0.0,1.25,4.749999999999999
47,274,301,8.1,0.0,1.25,5.625
48,281,307,11.043794608405715,0.0,4.139895651886847,4.749999999999999
49,274,299,8.103898956518869,0.0,1.25,5.625
50,281,305,11.156294608405714,0.0,4.139895651886847,4.875
51,274,297,8.09139895651887,0.0,1.25,5.625
52,281,303,10.753898956518867,0.0,3.75,4.875
53,288,309,9.907797913037736,0.0,3.75,4.0
54,295,308,7.4890925214434505,0.0,2.8898956518868464,3.1249999999999996
55,288,300,6.499196869556606,0.0,1.25,4.0
56,281,292,6.98040226115089,0.0,0.8601043481131532,4.875
57,274,284,8.120297913037737,0.0,1.25,5.625
58,281,290,10.766398956518866,0.0,3.75,4.875
59,274,282,8.116398956518868,0.0,1.25,5.625
60,281,288,10.7625,0.0,3.75,4.875
61,274,280,7.718705391594285,0.0,0.8601043481131532,5.625
62,267,272,8.958601043481131,0.0,1.25,6.5
63,274,278,12.002395651886848,0.0,4.139895651886847,5.750000000000001
64,281,284,10.74610104348113,0.0,3.75,4.875
65,274,276,8.22110104348113,0.0,1.25,5.750000000000001
66,281,282,10.774999999999999,0.0,3.75,4.875
67,288,288,10.05,0.0,3.75,4.125
68,281,280,6.981205391594285,0.0,0.8601043481131532,4.875
69,288,286,10.046101043481132,0.0,3.75,4.125
70,281,278,7.102306435075416,0.0,0.8601043481131532,5.0
71,274,270,8.246101043481131,0.0,1.25,5.750000000000001
72,281,276,10.921101043481132,0.0,3.75,5.0
73,288,282,10.042202086962263,0.0,3.75,4.125
74,295,288,9.292202086962263,0.0,3.75,3.3749999999999996
75,288,280,6.642202086962263,0.0,1.25,4.125
