step,agent_pos_y,agent_pos_x,reward,penalty,alignment_bonus,distance_bonus
1,225,382,9.775,0.0,5.0,2.375
2,225,388,9.240609565518811,0.0,4.610104348113153,2.25
3,225,394,9.637003478270438,0.0,5.0,2.25
4,225,400,9.515252608702829,0.0,5.0,2.1249999999999996
5,232,406,9.514895651886846,0.0,4.139895651886847,3.0
6,232,412,10.254166666666665,0.0,5.0,2.8749999999999996
7,232,418,9.861677267371912,0.0,4.610104348113153,2.8749999999999996
8,232,424,10.129501304351415,0.0,5.0,2.75
9,239,430,10.13711787410907,0.0,4.139895651886847,3.6250000000000004
10,239,436,10.875000000000002,0.0,5.0,3.5
11,239,442,10.875000000000002,0.0,5.0,3.5
12,239,448,10.753898956518869,0.0,5.0,3.3749999999999996
13,239,449,10.253898956518869,0.0,5.0,3.3749999999999996
14,239,449,10.15389895651887,0.0,5.0,3.3749999999999996
15,239,449,10.162500000000001,0.0,5.0,3.3749999999999996
16,239,449,10.162500000000001,0.0,5.0,3.3749999999999996
17,239,449,10.166398956518869,0.0,5.0,3.3749999999999996
18,239,449,10.166398956518869,0.0,5.0,3.3749999999999996
19,239,449,10.175,0.0,5.0,3.3749999999999996
20,239,449,10.175,0.0,5.0,3.3749999999999996
21,239,449,10.175,0.0,5.0,3.3749999999999996
22,246,449,8.753094538269377,0.0,2.7258361765043326,4.25
23,246,449,10.156961092630358,0.0,4.262081911747834,4.125
24,246,449,10.894879180882523,0.0,5.0,4.125
25,246,449,10.894879180882523,0.0,5.0,4.125
26,246,449,10.894879180882523,0.0,5.0,4.125
27,246,449,10.894879180882523,0.0,5.0,4.125
28,246,449,10.894879180882523,0.0,5.0,4.125
29,246,449,10.894879180882523,0.0,5.0,4.125
30,246,449,10.894879180882523,0.0,5.0,4.125
31,246,449,10.894879180882523,0.0,5.0,4.125
32,246,449,10.917620819117479,0.0,5.0,4.125
33,246,449,10.925,0.0,5.0,4.125
34,246,449,10.925,0.0,5.0,4.125
35,246,449,10.925,0.0,5.0,4.125
36,246,449,10.925,0.0,5.0,4.125
37,246,449,10.925,0.0,5.0,4.125
38,246,449,10.925,0.0,5.0,4.125
39,246,449,10.925,0.0,5.0,4.125
40,246,449,10.925,0.0,5.0,4.125
41,246,449,10.925,0.0,5.0,4.125
42,246,449,10.925,0.0,5.0,4.125
43,246,449,10.925,0.0,5.0,4.125
44,246,449,10.925,0.0,5.0,4.125
45,246,449,10.925,0.0,5.0,4.125
46,246,449,10.925,0.0,5.0,4.125
47,246,449,10.925,0.0,5.0,4.125
48,246,449,10.925,0.0,5.0,4.125
49,246,449,10.925,0.0,5.0,4.125
50,246,449,10.925,0.0,5.0,4.125
