step,agent_pos_y,agent_pos_x,reward,penalty,alignment_bonus,distance_bonus
1,218,382,9.024999999999999,0.0,3.75,3.0
2,211,381,5.728109565518811,0.0,2.110104348113153,2.1249999999999996
3,211,373,3.3203368116037715,0.0,0.0,2.1249999999999996
4,218,365,5.827395651886847,0.0,1.6398956518868468,3.0
5,218,357,4.2749999999999995,0.0,0.0,3.1249999999999996
6,225,363,9.712499999999999,0.0,3.75,3.8749999999999996
7,218,355,5.553571428571428,0.0,1.25,3.1249999999999996
8,211,347,4.671875,0.0,1.25,2.25
9,218,339,5.935894492463366,0.0,1.6398956518868468,3.1249999999999996
10,211,345,8.091398956518868,0.0,3.75,2.25
11,218,337,5.541398956518868,0.0,1.25,3.1249999999999996
12,225,343,9.832797913037737,0.0,3.75,4.0
13,232,342,8.782797913037735,0.0,2.5,4.875
14,232,334,6.066398956518868,0.0,0.0,4.875
15,225,340,9.485104348113154,0.0,3.360104348113153,4.0
16,225,346,11.0125,0.0,5.0,3.8749999999999996
17,232,338,7.631294608405715,0.0,1.6398956518868468,4.749999999999999
18,225,337,7.435104348113153,0.0,2.110104348113153,3.8749999999999996
19,232,343,10.67110104348113,0.0,3.75,4.749999999999999
20,239,335,8.121101043481131,0.0,1.25,5.625
21,232,327,7.371101043481132,0.0,1.25,4.875
22,232,333,11.90860104348113,0.0,5.0,4.749999999999999
23,225,339,9.402306435075415,0.0,3.360104348113153,3.8749999999999996
24,232,345,10.579702086962264,0.0,3.75,4.625
25,225,351,9.314806435075417,0.0,3.360104348113153,3.75
26,218,350,6.335907478556548,0.0,2.110104348113153,2.75
27,225,342,6.2719041739245265,0.0,1.25,3.75
28,225,348,10.825803130443397,0.0,5.0,3.6250000000000004
29,225,354,10.838303130443396,0.0,5.0,3.6250000000000004
30,232,353,8.525803130443396,0.0,2.5,4.5
31,239,345,7.950803130443394,0.0,1.25,5.375
32,239,337,7.169597738849111,0.0,0.38989565188684683,5.500000000000001
33,246,329,8.883601043481132,0.0,1.25,6.374999999999999
34,246,321,7.596101043481131,0.0,0.0,6.374999999999999
35,246,313,7.6875,0.0,0.0,6.5
36,253,319,12.603898956518867,0.0,3.75,6.75
37,253,325,13.891398956518866,0.0,5.0,6.75
38,246,317,8.828898956518868,0.0,1.25,6.374999999999999
39,239,316,9.378898956518869,0.0,2.5,5.500000000000001
40,232,315,8.503898956518867,0.0,2.5,4.625
41,239,314,9.39139895651887,0.0,2.5,5.500000000000001
42,232,320,10.375000000000002,0.0,3.75,4.5
43,225,319,7.562500000000001,0.0,2.5,3.6250000000000004
44,225,311,4.9875,0.0,0.0,3.75
45,218,310,6.443705391594284,0.0,2.110104348113153,2.8749999999999996
46,218,316,9.921101043481132,0.0,5.0,2.75
47,218,308,4.3648956518868465,0.0,0.38989565188684683,2.75
48,225,300,6.225,0.0,1.25,3.75
49,218,292,5.3374999999999995,0.0,1.25,2.8749999999999996
50,218,298,10.0125,0.0,5.0,2.8749999999999996
51,225,297,7.6875,0.0,2.5,3.75
52,232,296,8.943794608405714,0.0,2.8898956518868464,4.625
53,225,288,6.216398956518868,0.0,1.25,3.75
54,232,294,10.797693564924584,0.0,4.139895651886847,4.5
55,225,286,6.249196869556606,0.0,1.25,3.75
56,232,278,7.086696869556605,0.0,1.25,4.625
57,225,284,9.645297913037737,0.0,3.75,3.75
58,218,290,8.670297913037738,0.0,3.75,2.75
59,225,289,7.6077979130377384,0.0,2.5,3.6250000000000004
60,232,288,8.457797913037737,0.0,2.5,4.5
61,239,294,11.689092521443454,0.0,4.139895651886847,5.375
62,232,293,7.951503304632021,0.0,2.110104348113153,4.375
63,225,299,9.44139895651887,0.0,3.75,3.5
64,225,305,10.181205391594284,0.0,4.610104348113153,3.3749999999999996
65,225,297,4.783601043481132,0.0,0.0,3.5
66,218,289,5.158601043481131,0.0,1.25,2.625
67,211,288,5.7211010434811325,0.0,2.5,1.7500000000000004
68,218,294,8.939895651886848,0.0,4.139895651886847,2.625
69,211,286,4.262500000000001,0.0,1.25,1.7500000000000004
70,204,278,2.9812053915942847,0.0,0.8601043481131532,0.8750000000000001
71,204,284,8.029702086962264,0.0,5.0,0.8750000000000001
72,204,290,7.93360104348113,0.0,5.0,0.7499999999999998
73,204,296,7.946101043481131,0.0,5.0,0.7499999999999998
74,197,302,5.6875,0.0,3.75,-0.25000000000000006
75,197,308,6.987500000000001,0.0,5.0,-0.25000000000000006
76,204,314,6.5125,0.0,3.75,0.4999999999999998
77,211,320,7.4,0.0,3.75,1.375
78,218,312,4.846101043481132,0.0,1.25,2.25
79,211,311,5.433601043481132,0.0,2.5,1.375
80,204,310,4.575,0.0,2.5,0.4999999999999998
81,197,302,2.2125000000000004,0.0,1.25,-0.3749999999999996
82,197,294,1.0375,0.0,0.0,-0.25000000000000006
83,204,300,6.425000000000001,0.0,3.75,0.4999999999999998
84,204,292,2.2562946084057156,0.0,0.38989565188684683,0.6250000000000002
85,197,298,5.50389895651887,0.0,3.75,-0.3749999999999996
86,197,290,1.2101935649245843,0.0,0.38989565188684683,-0.3749999999999996
87,190,289,-2.0,-2.0,0.0,0.0
